,Company,Designation,Date Listed,Job Type,Job Period,Profession,Industry,Location Name,Allowance / Remuneration,Company Profile,Job Description
252,Castlery,SEO Content Intern,23 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 6 Months",Marketing / Public Relations,Retail / eCommerce,"Upper Paya Lebar Road, Tai Seng MRT Station (CC11), Singapore","$800 - 1,200 monthly","Founded in Singapore in 2013, Castlery is a digital-first furniture lifestyle brand delivering to 54 metropolitan areas across the United States, Australia and Singapore. Our mission is to create quality and beautiful furniture pieces and empower every customer to create an inspiring space. A space in which they can thrive and be their best self. With our international markets now contributing close to 80% of our group revenues, we are entering a phase of hypergrowth as we seek to firmly establish Castlery as the customers' furniture lifestyle brand of choice. We are looking for creative and ambitious talents to join our team on this journey. As a digital-first tech start-up, we are driven by curiosity and move on insightful data to steer our decisions. We lead with a growth mindset and the belief that the combination of each individual's passions and skills carry the company upward and forward. At Castlery, it's where all ideas are listened to, and brainstorming means that job titles get left at the door. This is where self-starters can really make their mark, thriving and evolving as they go. If making an impact gives you a reason to roll out of bed in the mornings, come join us!","As we continue to grow and expand our influence at Castlery, we are aiming towards more sustainable growth by dominating the SERPs with blog content that not only ranks for relevant keywords, but value-adds to our customers.We are looking for an SEO Content Writing Intern to join the Growth Marketing team.You will play a pivotal role in enhancing the online visibility and search engine rankings that ultimately drive organic traffic. Responsible for crafting and optimising compelling blog content, you will gain valuable hands-on experience in the end-to-end process of developing a content strategy across the three markets we are in (US, AU, SG).Assist in producing high-quality content for the blog across three markets (US, AU, SG)Optimise existing and new content for SEO by incorporating keywords strategically, improving readability, and ensuring content adheres to SEO best practices (i.e. meta data, appropriate headers, etc)Assist in keyword research to identify relevant and high-traffic keywords within the home and living spaceSupport with periodic data extraction, reporting, and analysis to measure blog effectivenessConduct research on competitor content strategies and identify opportunities for improvement and differentiationRequirementsContent writing portfolio that showcases your best workExceptional writing skills with strong attention to detailAbility to conduct thorough research on topics and keywords to produce high-quality, informative contentFamiliarity with fundamentals of SEO, including keyword research, on-page optimisation, and content structure is a bonusExperience with SEMrush, Google Analytics, and CMS platforms like WordPress are a bonusStrong organisational and time management skillsClear and effective communication skills, both written and verbal, to convey ideas and insights to team membersProactive and self-motivated with the ability to take initiative and work independently when neededCommitment: At least 6 monthsIf you are a passionate writer with a keen interest in SEO and content marketing, this is an exciting opportunity to gain hands-on experience and contribute to the dynamic team at Castlery. Join us in creating engaging content that not only drives results but is customer-focused"
253,Advisors Alliance Group,Financial Services Intern,09 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 1 Month",Banking / Finance,Finance,"Raffles Place, Singapore","$500 - 4,000 monthly","Advisors Alliance Group, one of the largest and fastest growing Financial Services Group in Singapore, also the first Financial Services Group in Singapore and whole AIA in 18 countries to achieve the prestigious 100 International Dragon Award (IDA).Guided by the vision, mission, and values, Advisors Alliance Group is in constant pursuit of achieving world-class standards in instructional practice, operating system, culture, philosophies and most importantly bringing valued service to the clients. The organisation believe in impacting lives and always bringing people from where they are today to places they have never been.Over the years, Advisors Alliance Group has built deep roots within the major varsities in Singapore, namely NUS, NTU and SMU, and pioneered the Entrepreneur Internship Programme that has been conducted annually since 2002.Advisors Alliance Group have also adopted a secondary focus to give back to society, through the Goldencare Project, Volunteer Work, Charity, Community Work, and AACares Fund, in collaboration with North West CDC.","OBJECTIVEExpose the interns to the financial services sector.Create a leadership experience and opportunity for our Management Associate position.AREAS OF STUDYThe Career Options in the Financial Services IndustryWealth Management – Retirement, Wealth Expansion/PreservationRisk Management – Corporate/Individual Risk CalculationCredit Cards and Credit ManagementFinancial Portfolio Design and ArchitectSales and Marketing ConceptsBusiness Management & Principles of EntrepreneurshipOne to one mentorship by award winning mentors"
254,Bizlink Centre Singapore Ltd,Operations and Training Officer (Cleaning Services),23 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Social Services / Charity,Social Services,"512 Chai Chee Lane, Singapore","$800 - 1,000 monthly","Bizlink Centre is a non-profit organization dedicated to serving the disadvantaged individuals, in particular persons with disabilities, through training and employment in Singapore. Bizlink is a registered charity with the office of the Commissioner of Charities and is conferred the status of the Institution of Public Character (IPC).Bizlink has been serving the disability community since 1986.Today, individuals, regardless of their disabilities and disadvantaged background, are enabled through work within an inclusive community.","Operations and Training Officer (Cleaning Services)Job DescriptionCleaning OperationsManage inventory purchase, stock take and delivery of cleaning supplies to work sitesTo ensure smooth daily operations at work sitesAssist in deployment of manpower and cover manpower shortage if neededTo conduct inspection on service delivery standard, report discrepancies, fault at work sites, and ensure punctuality of workersWork with service buyers to improve operations at work sitesTraining and Job CoachingConduct training of cleaning requirements and use of automated cleaning machinesProvide job coaching to cleaning workforce comprising of Persons with Disabilities and Senior WorkersJob RequirementO Levels / DiplomaExperience in an operational role would be an advantageWilling to multitask"
255,Ackredited LLP,Audit / Account Associate,23 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Accounting / Auditing / Taxation,Accountancy,"320 Serangoon Road, Singapore","$800 - 1,300 monthly","We are a boutique style professional service firm providing auditing, accounting, corporate advisory and various other services to our clients.AcKredited’s VALUES:PASSION – The force driving us to achieving and enjoying our work is the love and desire on what we are doing. Our team embraces the very passion to achieve the best possible results for our clients where satisfaction matters for both the processes and results. Do what we like, like what we do.PEOPLE – While technology has overwhelmed so much in our lifestyle, we believe that people still matter the most. We emphasis on the quality of our people, interpersonal interaction and understanding of our clients and other stakeholders. We are willing investors in people through training, education and communication. Our people are here to deliver.PROSPECT –. We are here working hand-in-hand with you for the only better prospects in mind. We have our experience and skillset as our backing to accomplish what is forthcoming. Our forward-looking minded attitude is simply uncompromised.Our clientele base covers various industries which includes food & beverages, construction-related, shipping, human resources services, interior designs, trading of consumer goods as well as non-profit and charitable organisations and etc.","We are looking out for (a) enthusiastic undergrads (diploma/university/ACCA) to fill up INTERNSHIP POSITION and (b) passionate fresh/experienced graduates/diploma holders from accounting and business-related discipline to take up the MANAGEMENT TRAINEE POSITION for fulfilling their ambitions with our organisation.The successful candidate is expected to:Assist in performing accounting/audit, internal control, liquidation and other assignments as and when deemed appropriate and assist in client management processWorking extra hours to achieve deliverables to our clientsAspiring to be well-equipped with technical and practical experience for excellenceHandle administrative works as and when requiredExplore further into various aspects of accounting and finance whenever possible.Only shortlisted candidate will be notified for interview.Preferably a diploma/degree or professional certification relating to accounting and finance.Having a “winner’s attitude”Respect and like what they are doing"
256,"Scape Co., Ltd.","Intern, Programmes (Stakeholder & Community Management)",23 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Social Services / Charity,Social Services,"Orchard Link, Scape, Singapore","$800 - 1,000 monthly","*SCAPE Co., Ltd. is a non-profit organisation, a registered charity, and an Institution of a Public Character that engages and nurtures youth by developing their talents. At *SCAPE, we offer a holistic network of programmes, communities, and facilities to support youth in their pursuit of interests and passion areas. Together with our partners, we inspire and empower our youth to discover boundless possibilities.","Intern, Stakeholder and Community Management works closely with the Senior Manager/Assistant Manager. Specially, the role involves stakeholders coordination, assist in Stakeholder mapping and community engagement planning.1. Stakeholder Engagement: Support the team in the implementation of stakeholder engagement plans in order to identify, prioritize, and manage relationships with *SCAPE and Somerset Belt key stakeholders, such as regular communication, meetings, and networking opportunities, through working with internal and external stakeholders.2. Stakeholder mapping & analysis: Research, take note, and track stakeholder interests, influence and potential opportunities or risks.3. Community Building: Identify new interest communities that are currently not engaged and may resonate with *SCAPE / Somerset Belt. Assist in organising and running engagements with current communities of interests as part of *SCAPE and Somerset Belt outreach.4. Reporting and Evaluation: Track and maintain metrics and reporting mechanisms to assess the effectiveness of stakeholder and community engagement efforts in order to prepare regular updates to management."
257,Petalo Cakery,Assistant Baker & Cake Decorator,23 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 3 Months",Food Services / F&B,Food Services / F&B,"Sin Ming Road, Thomson V Two, Singapore","$750 - 1,000 monthly","Pétalo means “petal” in Spanish, a nod to our signature florals. Each petal is painstakingly layered by hand to create an alluring, standout flower piece.  We specialise in one-of-a-kind creations that leave an impression. Our made-to-order cakes are lovingly made from scratch and baked with the finest ingredients, representing the union of gorgeous aesthetics and decadent taste.We are looking for new additions to our growing team! If you're passionate about creating edible art and growing in the area of cake decorating we would love to hear from you!","Job DescriptionAssist in baking & preparation of baked goodsPreparation of fillings including buttercream, house-made curds, jams & pralinePrepare ingredients, handle baking and other kitchen equipment according to SOP to achieve consistency of food execution and food quality.Ensure that food hygiene and safety standards are maintained and comply.Pack and store raw materials and finished goodsAny other ad-hoc duties assignedJob RequirementPassionate about baking & cake decoratingMust be a team playerHas basic food hygienic certification.Must be able to commit at least 3 months and above.Able to communicate in EnglishBenefitsAdditional leaveFlexible off-daysOpportunity for full time position"
258,96 Designer Group,Interior Designer,23 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Immediate Start, Permanent",Design / Creative,Design,"44 Kim Keat Road, Singapore","$450 - 4,150 (project /contract based)","Leading company over 10 years since 2014 , we are expertise in designing and coaching on projects management. We will guide and teach of this trade. Free leads and commissions to be discussed",- responsibility- flexible and think out of the box- versatile in designing and sales pitch- integrity and passionate in design
259,Multifolds Productions,Associate Photographer Traineeship,23 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 6 Months",Professional Services,Creative / Media,"Lorong 23 Geylang, Yu Li Industrial Building, Singapore",$200 - 750 (project /contract based),"Join the Multifolds Team: Capture Life's Precious MomentsOur MissionSince 2010, Multifolds has been dedicated to crafting visually stunning and emotionally resonant wedding memories for our clients. We're passionate about telling love stories through photographs and videos that capture the essence of each couple's special day.Our ApproachWe take a multifaceted approach to wedding photography and videography, using various perspectives and angles to surprise and delight our clients. Our team of skilled professionals then edits each moment with precision and care, accentuating the emotions and significance of every instant. We're not just photographers, but storytellers with cameras as our medium.Join Our TeamAt Multifolds, we're committed to nurturing talent and passion. We welcome interns and job seekers who share our dedication to excellence and our enthusiasm for the wedding industry. Our collaborative and dynamic environment offers the perfect setting to learn, grow, and thrive.Explore Our WorkWebsitehttp://multifolds.com.sgFacebookhttps://www.facebook.com/multifolds.photographyInstagramhttp://instagram.com/multifolds/Join us and become a part of the Multifolds story!","Are you a fun-loving, creative individual with a passion for photography and an eye for capturing the essence of special moments? Look no further! Join our dynamic wedding photography team as an intern and embark on a journey filled with creativity, excitement, and growth.Qualities We're Looking For:Fun-Loving: We believe in creating a positive and enjoyable atmosphere for our clients. If you have a cheerful personality and enjoy spreading joy, you're the perfect fit!Social Media Savvy: Stay ahead of the curve by following the latest social media trends. Bring your knowledge of platforms like Instagram, Pinterest, and more to enhance our online presence.People Person: Love meeting new people? Excellent! Interacting with clients, understanding their vision, and making them feel comfortable is key to our success.Moment Capturer: You understand that it's not just about taking photos; it's about capturing moments that will be cherished forever. Your lens will be a storyteller.Aesthetic Eye: Demonstrate a great sense of aesthetics. Your ability to compose visually appealing shots and an understanding of color and composition are essential.Team Player: Our success is a team effort. Work collaboratively with our experienced photographers and other team members to deliver exceptional results.Keen Eye for Details: It's the small details that make a big difference. Your meticulous attention to detail ensures that no special moment goes unnoticed.Energetic: Wedding days can be long and demanding. Your energetic and positive attitude will keep you going and contribute to a lively atmosphere.Goal-Getter: Set goals, strive to achieve them, and constantly look for ways to improve. Your drive and ambition will be celebrated and supported.Adaptability: The world of weddings is ever-changing. Adapt quickly to different environments, lighting conditions, and unexpected situations.Continuous Learner: Have a strong desire to improve your photography skills. We provide an environment that encourages growth, learning, and refining your craft.Observation Skills: Notice the nuances, the unspoken moments. Your ability to be observant will result in truly authentic and captivating photographs.Content Producer: Love creating content? Whether it's behind-the-scenes shots, blog posts, or social media updates, your creativity will play a vital role in our content strategy.If you are ready to embark on a rewarding journey, showcasing your talents in the world of wedding photography, we want to hear from you! Apply now and let's create memories together."
260,Kelvin Sng Production Pte Ltd,Business Development Executive,23 May 2024,Experienced / Senior Executive,"Immediate Start, Permanent",Customer Service / Communications,Creative / Media,"Sin Ming Lane, Midview City, Singapore","$2,700 - 3,100 monthly","Kelvin Sng Productions Pte Ltd (KSP) is Singapore’s most trusted production company and training academy that provides a variety of film, media, theatre and drama production services, workshops, courses and programmes for schools, colleges, institutions, corporate organisations and the community.Founded in 2008, Film Director Kelvin Sng envisioned the combination of art, education and commerce to produce quality films with purpose-driven themes that connect with the audience. Our creative team produces films for cinema release, TV commercials for agencies, videos for corporate needs, online digital content as well as campaign videos on a national level. We also specialise in theatre plays and musicals that connect at the heart level, creating a unique experience that continues to impact the audience long after the curtains are drawn.Over the years, we have evolved into 3 strategic arms, namely Production, Education and Corporate. Using our mastery and expertise in Film and Theatre, we penetrate diverse markets through these arms in order to offer all our clients a life-transforming experience.From screen to stage, be it telling a story, promoting a product/service or campaigning for a social cause, we believe in an original and refreshing approach, working closely with our clients and partners to custom-design purposeful projects that seek to fulfil the vision, mission, values, purpose and aspirations of the organisation.It all begins with a WHY, and we take delight in putting together the HOW.Our workshops, courses and programmes are designed to provide participants with highly experiential learning to discover and develop their creativity and talents. At the same time, they also strengthen character values through cultivating positive attitudes, self-expression and enhancement of various life skills.","Job Description• Active participation in strategic planning process, including developing sales strategies, goals, objectives and processes with a deep understanding of the markets for video production for Kelvin Sng Productions’ production arm.• Active participation in strategic planning process, including developing sales strategies, goals, objectives and processes with a deep understanding of the markets for corporate training for Kelvin Sng Productions’ training academy arm.• To create and angle proposals for government tenders.• Research, develop and create impactful marketing content for web and social media of the company.• Generate creative ideas and campaigns, integrating into written and visual contents• Researching markets and industries to compare and create services that is innovative and original, utilising the strengths of the company.• Conducting key word research and consistent initiatives in using SEO guidelines to increase web traffic.• Marketing and communication processes, copyrighting and editing skills.• Using of digital publishing tools (WordPress or other Content Management Systems, image editing tools, e.g. Canva).***Candidate that possess understanding on how a Film Production works is an advantage."
261,Kelvin Sng Productions Pte Ltd,Admin Executive,23 May 2024,Entry Level / Junior Executive,"Immediate Start, Permanent",Admin / Secretarial,Creative / Media,"Sin Ming Lane, Midview City, Singapore","$2,500 - 3,000 monthly","Kelvin Sng Productions Pte Ltd (KSP) is Singapore’s most trusted production company and training academy that provides a variety of film, media, theatre and drama production services, workshops, courses and programmes for schools, colleges, institutions, corporate organisations and the community.Founded in 2008, Film Director Kelvin Sng envisioned the combination of art, education and commerce to produce quality films with purpose-driven themes that connect with the audience. Our creative team produces films for cinema release, TV commercials for agencies, videos for corporate needs, online digital content as well as campaign videos on a national level. We also specialise in theatre plays and musicals that connect at the heart level, creating a unique experience that continues to impact the audience long after the curtains are drawn.Over the years, we have evolved into 3 strategic arms, namely Production, Education and Corporate. Using our mastery and expertise in Film and Theatre, we penetrate diverse markets through these arms in order to offer all our clients a life-transforming experience.From screen to stage, be it telling a story, promoting a product/service or campaigning for a social cause, we believe in an original and refreshing approach, working closely with our clients and partners to custom-design purposeful projects that seek to fulfil the vision, mission, values, purpose and aspirations of the organisation.It all begins with a WHY, and we take delight in putting together the HOW.Our workshops, courses and programmes are designed to provide participants with highly experiential learning to discover and develop their creativity and talents. At the same time, they also strengthen character values through cultivating positive attitudes, self-expression and enhancement of various life skills.","Job Scope and Responsibilities:1) Providing administrative support for the company across our 3 arms: Production, Education and Corporate2) Providing general support in logistical matters to serve the needs and requirements of the company and our clients3) Preparing and issuing invoices, contracts, quotations, receipts and general paperwork4) Managing office calendar across our 3 arms: Production, Education and Corporate5) Using google drive effectively to manage records and storage of data and information6) General office duties**preferably Singaporean or PR"
262,Pilates Fitness,Studio Operations 9 Months Internship,23 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 6 Months",Admin / Secretarial,Others,Singapore,"$1,200 - 1,350 monthly","The Pilates Training with ResultsPilates Fitness delivers your best body. We are the Pilates training with results. We empower, transform and actualize your desired fitness and body. Since 2010, we have worked with more than 15,000 people to transform their bodies and health to empower them to live their best lives.As Reba McEntire once quoted “All the money in the world cannot buy you back good health.” It is time to take charge of your health with us.","Please apply if you can commit part time work for a period of at least 9 months. A completion bonus will be given at the end of 9 months.Pilates Fitness Operations Intern will be running the day to day operations of the studios covering customer service management, managing online and offline operations, and upkeep of studio cleanliness.We encourage the intern to suggest new initiatives to improve customer experience and service offerings. Just like many before you, this internship offers a good opportunity for you to take your idea from concept to fruition during your internship with us.KEY DUTIESResponsible for customer service, studio upkeep and virtual client experienceImprove efficiency of current processes, suggest ways to improve customer experience and service offerings.Provide prompt replies to customer enquiries on various online platforms and our hotlineDaily online and offline operationsStudio housekeeping dutiesENVIRONMENTFlat hierarchy, independent working environmentFREE Pilates Reformer classesREQUIREMENTSMinimum commitment of 9 months, 3 days a week. You may take leave for exams or traveling etc during the 9 months. Completion bonus given at the end of 9 month term.12pm - 5.30pm, Mondays to Fridays. Rest on weekends.Enjoys client interaction and can problem solve in a service-oriented wayGood customer service and telephone etiquetteAble to handle multiple requests coming in at the same time and systematically completes all tasks before the end of dayAble to work independently alone or with the team.Experienced in admin work, good with google office and quick in picking up using computer systemsDetailed oriented, meticulous, carefulTertiary students with 1 year of work experience are welcome to apply"
263,Annabella Patisserie Trading Pte Ltd,Graphic Designer (for Disney Products),23 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Immediate Start, For At Least 3 Months",Advertising / Media,Manufacturing Food / Lifestyle / Packaging,"20 Bukit Batok Crescent, Singapore","$800 - 1,500 monthly","Company Introduction:Annabella Patisserie established in 2014 from a small shared kitchen of 1-person operation unit to now a team of over 30 enthusiasts including the Founder, Ms. Annabella and also a team of experienced bakers and pastry chefs.  We developed from a humble beginning to now a sizable company that provides the best macarons supplies to many 5-Star Hotels, Restaurants, Cafes etc.Our Motto & Spirit:Customer First!Employee Second!Company Third!Customer: In whatever we do today, we ensure the products or the services that offer to our clients are from top-most dedications and effort that has been contributed.  Customer is core to our business, directly or indirectly, we strive to ensure every piece of product that is produced will WOW our customer.Employee: Secondly, employees are next in line of our priority, the management and founder is so passionate to build a family and friendship, and the company is run like a small family.  Our key passion is to ensure basic needs of employees are met at all times, job satisfaction and career advancement and plenty of opportunities are given to the team members.  We encourage flexibility in work arrangement, we created  a model and encourage employees to be able to take long break at least once a year.  We also encourage the team members to save and to spend some savings to see the world, the best experience and education comes during traveling.Company: We place high priority on the company against our personal benefits, to ensure the strong foundation is established, continuous investment is allocated, future business prospects are built.  And the Company will continue to expand and rely on our bottom-up approach, with the solid environment established, then we can create a good working place for all employees and in turn produce the best quality service and products for our customers.",Graphic DesignersKey Requirements:Positive ThinkingMotivatedTeam PlayerHappy & FriendlyMotivatedCreativeJobs Scope:Photo editing skill using CANVAGraphic Vector design using Illustrator (Good to Have) Photoshop (Good to have)Making use of available resources from Freepik and Vecteezy (paid license) to re-create seasonable Graphics for our CompanyAbility to create Photos for all our productsPhotography skill to take product photos will be a plus (Optional)Videography Skill to create short 15s-30s video ads will be a plus (Optional)Sponsored trip to Tiktok Office to learn Video Editing Skill
264,Strikingly,Chinese Happiness Officers (Customer Support),23 May 2024,Experienced / Senior Executive,"Immediate Start, Permanent",Telecommunications,Others,"Batangas, Philippines",$6 hourly,"About us:Strikingly is a modern, mobile-optimized website builder that’s extremely easy to use. Our mission is to give everyone the power to unleash their individuality.Our headquarters is currently based in Shanghai, China but we have deep Silicon Valley roots. We’re backed by Y Combinator (W13), SV Angel, Funders Club, Innovation Works, Infinity Ventures, Index Ventures, Kevin Hale, and many others.You can learn more about us from the news:> https://strk.ly/23p> https://strk.ly/23o","We're looking for a Bilingual Chinese - English customer support agent or Happiness Officers that will provide professional and friendly service through our email and live-chat channels. This person should have a passion for helping others and be able to stay calm under pressure.You'll also translate our product into Chinese. You'll be given the tools to do so easily, and you translate regularly, and moderate others' translations."
265,New Deli Food Trading Pte Ltd,Marketing Manager,23 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Immediate Start, Permanent",Marketing / Public Relations,Wholesale Trade,"11 Chin Bee Drive, Singapore","$800 - 3,200 monthly","New Deli Food Trading is a local food supplier that specialises in meat, seafood and a wide variety of dry goods. On the B2B end, our goal is to be a one-stop food solution for our customers upholding top-notch service as well as accountability. We would like to explore more on the B2C front to expand our presence in the market. Our aim is to deliver smiles to customers and to create a community where we share more about food health, delicious food and more! We are rapidly expanding and we hope that you can be a big part of our growth.","Job Scope:• Involve in daily marketing (planning marketing strategy, branding, marketing projects, marketing research, executing social media plans and advertising)• To oversee and onboard New Deli onto new B2C platforms• To record daily operational issues for B2C• To handle any customer complaints online• Executing tasks diligently• Carry out other duties and responsibilities assigned by the Company from time to time.Job Requirements:• At least 1 year of experience with graphic design• Proficient with Canva, Photoshop and Illustrator. (Video is a Bonus!)• Proficient with Microsoft Office (Word, Excel, Powerpoint)• Ability to multi-task and attention to details• Committed, responsible and driven• Excellent Schedule Management and Multi-tasking• Ability to work in a fast-paced environment• Strong team player with excellent interpersonal and communication skills• An interest and passion in food!• Able to lead.Perks:• Work from home and flexible hours as long as tasks are completed• Insurance• Annual Leave• Medical Leave• Colleagues who will work hard together and help each other out"
266,AIA,Financial Services Consultant,23 May 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Insurance,Insurance,"3 Tampines Grande, Singapore","$500 - 4,000 monthly","AIA Group Limited and its subsidiaries (collectively “AIA” or the “Group”) comprise the largest independent publicly listed pan-Asian life insurance group. It has a presence in 18 markets – wholly-owned branches and subsidiaries in Mainland China, Hong Kong SAR(1), Thailand, Singapore, Malaysia, Australia, Cambodia, Indonesia, Myanmar, New Zealand, the Philippines, South Korea, Sri Lanka, Taiwan (China), Vietnam, Brunei and Macau SAR(2), and a 49 per cent joint venture in India. In addition, AIA has a 24.99 per cent shareholding in China Post Life Insurance Co., Ltd. The business that is now AIA was first established in Shanghai more than a century ago in 1919. It is a market leader in Asia (ex-Japan) based on life insurance premiums and holds leading positions across the majority of its markets. It had total assets of US$286 billion as of 31 December 2023.  AIA meets the long-term savings and protection needs of individuals by offering a range of products and services including life insurance, accident and health insurance and savings plans. The Group also provides employee benefits, credit life and pension services to corporate clients. Through an extensive network of agents, partners and employees across Asia, AIA serves the holders of more than 42 million individual policies and over 18 million participating members of group insurance schemes. AIA Group Limited is listed on the Main Board of The Stock Exchange of Hong Kong Limited under the stock codes “1299” for HKD counter and “81299” for RMB counter with American Depositary Receipts (Level 1) traded on the over-the-counter market under the ticker symbol “AAGIY”. Notes: (1) Hong Kong SAR refers to the Hong Kong Special Administrative Region. (2) Macau SAR refers to the Macau Special Administrative Region.","A Financial Consultant is like a personal trainer for your money. It's a job where you help individuals and businesses make sense of their finances. You analyze their financial situation, create budgets, and provide advice on investments and savings. Your goal is to guide them towards making informed decisions that align with their financial objectives. It's not about magic wands or capes, but rather practical solutions to improve financial well-being. It's a serious job with real impact, ensuring that people navigate the complexities of money management effectively.A successful Financial Consultant not only possesses a solid understanding of financial principles but also exhibits certain personal qualities. Here are some additional criteria, including being sociable and having a willingness to learn[Training Provided]:Financial Acumen: A strong grasp of financial concepts, including budgeting, investment strategies, and risk management.Analytical Skills: The ability to analyze complex financial data and provide insightful recommendations.Communication Skills: Being sociable is key. A Financial Consultant should be able to explain financial concepts in a clear and understandable manner to clients. Effective communication builds trust and ensures clients feel comfortable discussing their financial situation.Customer Focus: A genuine interest in helping clients achieve their financial goals. Understanding their needs and tailoring financial plans accordingly is crucial.Adaptability: The financial landscape is ever-evolving. A willingness to learn and adapt to new financial tools, technologies, and market trends is essential.Problem-Solving Skills: Clients often come with unique financial challenges. A Financial Consultant should be adept at identifying issues and proposing effective solutions.Ethical Conduct: Handling financial matters requires integrity. Adhering to ethical standards and ensuring client confidentiality is paramount.Sales Skills: While not about selling products, a Financial Consultant needs to ""sell"" their expertise and advice. Convincing clients to adopt sound financial strategies is part of the role.Networking Abilities: Building a clientele involves networking. Being able to establish connections within the community and industry can contribute to professional success.Continuous Learning: Finance is dynamic. A willingness to stay updated on industry trends, regulations, and new financial products is crucial for long-term success.So, if you're not just about numbers but also enjoy connecting with people, and you have a hunger for continuous learning, the role of a Financial Consultant might be a great fit for you! Training is provided for all criteria.No quota for pass holders currently*Job Types: Temporary, Internship, Fresh graduate, Student jobContract length: 4 monthsPay: $500.00 - $4,000.00 per monthBenefits:Additional leaveFlexible scheduleWork from homeSchedule:Monday to FridaySupplemental pay types:Commission payPerformance bonusEducation:Local Polytechnic Diploma (Required)Work Location: Hybrid remote in Singapore 528799"
267,Hamper Cop,Growth Hacker Intern (Sales),23 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Sales / Retail,Computer and IT,Singapore,$200 (project /contract based),"Hamper Cop is the trailblazer in delivering hampers as a service, reshaping the market with unmatched ambition. With our expansive range of premium products, we create customized hampers that surpass expectations. Our complete hamper solution is not only budget-friendly but also uncompromising in quality, reflecting our unwavering commitment to customer satisfaction. Embrace the go-getter mindset and experience the game-changing innovation at Hamper Cop.","Do you thrive at the intersection of marketing, sales, and data? Are you passionate about hacking growth and driving revenue? If so, then this role is for you! We're looking for a creative and analytical Growth Hacker to join our team and develop innovative strategies to acquire new customers, optimize the sales funnel, and ultimately boost revenue. You'll leverage your expertise in marketing automation, data analysis, and user experience (UX) to design and execute growth experiments that drive measurable results.Responsibilities:Identify and prospect potential B2B clients through various channels, including online research, networking events, and industry-specific platforms.Conduct effective lead generation activities to build a robust pipeline of qualified prospects.Engage with prospective clients through cold calling, cold emailing, and other outreach methods to introduce our services and convert leads into sales opportunities.Negotiate and close sales deals, ensuring customer satisfaction and timely delivery of services.Stay up-to-date with industry trends, market conditions, and competitor activities to identify new business opportunities and adapt sales strategies accordingly.Continuously learn and improve sales techniques, product knowledge, and customer engagement strategies.Requirements:Proven experience (2-6 months) in B2B sales, preferably in a related industry.Excellent written and oral communication skills, with the ability to articulate complex concepts clearly and convincingly.Strong interpersonal skills and the ability to build rapport and establish trust with clients.Knowledge and experience in lead generation, cold calling, and cold emailing.Results-oriented mindset with a track record of meeting or exceeding sales targets.Fast learner with the ability to understand and effectively communicate the value proposition of our services.High ethics, integrity, and humility, with a strong desire to contribute to a rapidly growing organization.Marketing knowledge and experience would be considered a plus.Proficiency in using CRM software and productivity toolsAbility to work independently and collaboratively in a team-oriented environment."
268,Ace Management Services,Part Time Service Crew,23 May 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Food Services / F&B,Human Resources,"Orchard, Singapore",$13 hourly,"Ace Management Services provides a one – stop solution to a comprehensive Human Resource & Business Management needs to our clients.At AMS, we value relationships with our clients and staff to ensure that both parties will work together seamlessly.Our company has a wide array of partners ranging from SMEs to MNCs.","HOTEL/RESTAURANT SERVER || WORK WITH FRIENDS || UP TO $14/HRWEEKLY CASH / PAYOUTNO COMMITMENTSFAST CONFIRMATIONFLEXIBLE SCHEDULINGPOSITION: SERVICE CREWSHIFTS: 5-6HRS / FULL DAYLOCATION: MOSTLY IN CENTRAL AREAWORK WITH FRIENDS (SUBJECTED AVAILABILITY)STUDENTS ARE WELCOMED !!JOB SCOPE:- SERVING FOOD/ DRINKS- CLEARING OF TABLES- OTHER ADHOC DUTIESREQUIREMENT:16 AND ABOVEBLACK PANTS, BLACK LEATHER SHOES AND BLACK SOCKS"
